b'JCochtoasten',"b'@Alyssa_Milano @SenatorCollins If you really believed in #metoo, you wouldnt love @BillClinton , and you would be calling for the same thing for Ellison and Booker.  #hypocrisy'",12
b'j_nikolski',b'Its \nUnforgivable.\nPower &amp; money \nrule over us like \nFeudal lords\nThis is  just a big \nPhuck you to all women.\n\n#StopKavanaugh\n#BlueTsunami2018 \n#metoo https://t.co/B2rL58Fgdd',1331
b'mary_lumley',"b'@Alyssa_Milano @SenatorCollins I believe in #metoo. I can\xe2\x80\x99t get on board with the left because of the blatant hypocrisy I see. Women are only given support if they vote with democrats. I\xe2\x80\x99m an independent voter, so party doesn\xe2\x80\x99t sway me.'",982
b'TabPreston',b'The best part about the #KavanaughConfirmation is that all these liberal crybabies will stay at home whining and the box office for #AStarIsBorn will be a disaster.\n\nWinning!\n\n#MAGA\n#MeToo\n#Resist https://t.co/i5g9gifKpc',339
b'JeremiahHorriga',"b""@TheDemCoalition C'mon. She's a WINO. #Kavanaugh #Metoo #StopKavanaugh""",318
b'rawphonegirl',b'This. \n\n#MeToo \n#ConfirmKavanaugh https://t.co/RQgd1L2ACb',954
b'hiddenscribe726',b'#metoo I have been sexually assaulted in the past. Physically abused and Emotionally abused and any being who has to go through that is unbelievably strong. My traumas involved so much pain but the more we put pressure on the monsters the better it will be',251
b'theBlackKaner88',"b'I added a video to a @YouTube playlist https://t.co/uCH8XSbG4u One year into #MeToo movement, how far have we come?'",535
b'4JDJD',b'Sell out hypocrite. Couldn\xe2\x80\x99t be more disgusted. You will be defeated in your next race. But it will be too late bc you have sealed the fate of millions of women for the next 40 yrs. OUTRAGED #MeToo #oneyrlater #womansellsout https://t.co/iQlUk1kQfo',858
b'bunnyt1960',"b'@Tennesseine I was very agitated in response to a tweet you made. It was very triggering to survivors. All of us are motivated, we feel ignored, not believed, disposable, and most of all alone except for our #MeToo sisters and brothers.\nMy lesson , we hurt, just support, please!'",457
b'GtWhtNorth',b'@JoyAnnReid @Ocasio2018 Really?  And how many Democrats voted against the hijacking of the Supreme Court confirmation process and the weaponizing of the #metoo movement to exploit a SA survivor for partisan political gain?',7
b'Amanda_VonDe',"b'#SusanCollins I\xe2\x80\x99m humilated you are representative of women if you vote for #Kavanaugh. Don\xe2\x80\x99t stand with your party because of money, stand with women because of your morals #metoo'",467
b'KarenCyars1',"b""@RealKDPFan4Eva @SenatorCollins F*** you Susan. You don't give a shit about women and girls who are brave enough to share their #metoo stories. All you give a damn about is money and entitled men especially white men who abuse women and think they could have high position in government like all others""",117
b'TexasSpeedDemon',"b'@RealGilbert Today,  Larry would\xe2\x80\x99ve been #MeToo \xe2\x80\x98d and fired by Mo.'",44
b'haikutweets65',"b""@tcu360 Rape culture doesn't exist in the US. The whole #metoo movement is a lie.""",65
b'AR10_Fan',"b""@ChuckGrassley thank you for not letting @TheDemocrats' get away w/ their dirty tricks. #MAGA #Kavanaugh #KavanaughConfirmation\n#Mueller #Russia #Democrats #Obama @TheDemocrats #WalkAway @CBSNews @washingtonpost @MSNBC #Millennials #metoo #FBI #Trump #offgrid #preppers #2A #NRA https://t.co/2G4f1zhoFM""",70
b'67tiger3',b'Just in time for Halloween the Bride of Frankenstein Dona Brazile. Fox send her on assignment to Brazil on one way ticket. We Are Gone She Is Lower than any #MeToo https://t.co/6jbpFdXahK',2320
b'FriendlyJMC',"b""Until you call out Keith Ellison and Corey Booker and your beloved Bill Clinton in your #MeToo movement it's just a joke. \n\nFor goodness sake, their victims have evidence or there's a confession! \n\n#Hypocrite\n#Lies https://t.co/4EDu6QfCyJ""",34403
b'elliesadie',b'@JuliaBrownley26 Thank you. #metoo',62
b'superyayadize',"b""Juanita Broaddrick undercuts Democrats' #MeToo leverage in Kavanaugh battle: 'You are full of it https://t.co/zEPuSaEVl7""",37075
b'NeeleyEunice',b'@SGottliebFDA @SGottliebFDA supports sexual harassers (Stanton Glantz). #Metoo',12
b'howroute',"b'@chelseahandler @SusieLeeNV Today after Republicans plowed a sexual predator to Supreme Court &amp; earlier to the White House, America now officially lost its moral compass &amp; it\xe2\x80\x99s currently pointing toward bigotry, racism, ignorance and institutionalized culture of rape. The entire country screams #MeToo\xe2\x81\xa0 \xe2\x81\xa0'",15287
b'boyfacemedia',b'Get on our RAP GOATS #playlist: https://t.co/krrcOGXgFt\n#NewMusic: \nhttps://t.co/BnyuGHpus9 Redemption by Zacari &amp; Babes Wodumo: #youtube #lilbaby\n#hiphop #rap #Crypto #metoo #ICO $hot',41923
b'janettwokay',b'I just donated to the challenger to @SenDeanHeller ==&gt; Ms. Jacky Rosen. Please join me in supporting @RosenforNevada!\nhttps://t.co/Gcf8lwRNVW\n#VoteNoOnKavanaugh #SCOTUS #MeToo #BlueWave',7147
b'daphine36',b'@gmanews Hopefully this starts #MeToo campaign here in the Philippines. I support Gretchen Fullido.',55
b'rlks816',b'@SenatorCollins Don\xe2\x80\x99t bother. You became one of the gang of old white men. #meToo',35
b'XYennial',"b'Lol, sick how these people want to politically weaponize and kill #MeToo https://t.co/8L4G0fRNEC'",2353
b'TheWondersNatur',b'Orrin Hatch Tells Female Protesters To \xe2\x80\x9cGrow Up\xe2\x80\x9d https://t.co/IrK22Osteq via @YouTube #KavanaughVote #KavanaughConfirmationHearings #KavanaughConfirmation #Kavanaughhearings #KavanaughFord #Kavanaugh #MeToo',1996
b'kilgoret95',"b'@SenatorCollins You\xe2\x80\x99re pathetic, weak, and self-centered, and you should be ashamed of yourself for voting to confirm someone who lied under oath, threw a temper tantrum, AND sexually assaulted more than one woman. Coulda just found another candidate but nope. Shameful. #Kavanaugh #MeToo'",340
b'MandaLou52',b'The Fucking gaslighting that is happening by this country\xe2\x80\x99s administration is MIND BOGGLING!! @realDonaldTrump you live in a state of total and complete denial. I have no other words. #BelieveWomen #YesAllWomen #MeToo #WhyIDidntReport',134
b'ChristinePasalo',"b'UPDATE: This fool would not sit down, so I stood taller.\n\n""Mansplaining, I fold em like origami\nWhat\'s a wave, baby? This a tsunami\nFor the culture, I kamikaze\nI put my life on a life line""\n\n#BelieveWomen #BelieveSurvivors #MeToo @JanelleMonae https://t.co/biFKfdvAPQ'",243
b'JeremiahHorriga',"b""@jaketapper I've seen the job interview. Not impressed. When does the  trial begin? #resist #Kavanaugh #Metoo""",318
b'DemforceMGWV',b'Susan Collins #BreakingNews #MeToo #BelieveSurvivors \xf0\x9f\x98\x8eOh my God you gotta here this from Chuck Grassley!! \xf0\x9f\x91\x87\xf0\x9f\x91\x87 https://t.co/u5hVcyveAe',29058
b'demetriadixon',"b'I am sad. For a moment, it seemed that we would win. That despite our history, we were on a path to right the wrongs of the past. On a path to create a safer future that promised a more liveable world. The #metoo movement gave me hope that women... https://t.co/7iTTi0tnNO'",1460
b'PaulCar35404186',"b'@SenatorCollins I spoke to a liar on two occasions, for an hour, and he assured me that he was telling the truth. So I am completely satisfied that he should be appointed to the highest court in the land.\n\nAnd by the way fuck #MeToo\n\n#Kavanaugh #KavanaughVote'",3179
b'Spectre680',"b""If you don't give your riches to illegal immigrants to help Democrats (who can't win debates), then off to jail you go!!!\n\n#JSFamilyVacation #JerseyShore #BlackLivesMatter #MeToo #Trump2020  #KavanaughHearings #Kavanaugh #KavanaughConfirmation #YesAllWomen\nhttps://t.co/jHIBbI1R0o""",352
b'StevenWalder',b'@SenatorCollins It will be my pleasure along with thousands of others who will take you out of your comfy sanctuary. How dare you vote against these amazing women who came forward to tell there horrific stories. Hopefully someday you won\xe2\x80\x99t to have to tell your story #metoo',17
b'lifeisageless',b'this is for you #metoo https://t.co/f61oWsQwcS',2080
b'Koaladonk',b'Every time I see the #MeToo hashtag at first glance it always looks like a tiny vagina and then I think about how that would be way more awesome \xc2\xaf\\_(\xe3\x83\x84)_/\xc2\xaf',567
b'Bryon592',b'Should be no more doubts about the lack of integrity &amp; moral character among the soulless scum on Capitol Hill. Have always known. Most in Congress are corrupt slimeballs who only vote for their own political &amp; $ interests. Any questions? #SusanCollins #kavanaugh #Metoo #SCOTUS',276
b'mk138455',"b""So my profile photo is my 'You reeeeeaaally shouldn't have pissed me off' face. I perfected it back in the '70s, '80s, '90s... #WhenIDidntReport because #NoOneWouldBelieveMe and #NobodyCared.\nSo, right, #MeToo #DrFord, #MsRamirez, and *all* of you... and, all you MF? #TimesUp . https://t.co/NwFSeFn3kM""",257
b'ghost_mozarts',b'@SamanthaSAS @DebTrumplican @WeSupport45 @realDonaldTrump @CoryBooker Whers is #metoo ?',132
b'stxbaby4ever',"b""@SenatorCollins covered the @SenateGOP ass today and like brave men they were, they hid behind a woman's skirt. I wonder what dirt they have hiding in their own closets? \xf0\x9f\xa4\x94\xf0\x9f\xa4\x94\xf0\x9f\xa4\x94\xf0\x9f\xa4\x94 #metoo #timesup https://t.co/7iBogWg4uA""",43
b'Merlin703',"b""Love this woman.\nJuanita Broaddrick undercuts Democrats' #MeToo leverage in Kavanaugh battle: 'You are full of it https://t.co/imGaPdaS1K via @washtimes""",76
b'yogioabs',"b'Nearly 2K people now have heard my story. Last week during the Kavanaugh hearings, in a moment of immense frustration, Dr. Ford sexually assaulted me. #MeToo https://t.co/qn7NgjpzCX'",73
b'AmericanAsIs',b'#MeToo @maziehirono @amyklobuchar @SenKamalaHarris @SenGillibrand @amyschumer @alyssa_milano\n@foxnews @ChuckGrassley @senorrinhatch @LindseyGrahamSC @POTUS @IngrahamAngle @RealCandaceO @DLoesch @michellemalkin @kilmeade #MAGA lot of these stories coming out \n#redwave #WalkAway https://t.co/C6LYTGGCV6',1729
b'_dingl',b'The 1 year anniversary of #MeToo. @handymayhem chimes in https://t.co/Iwe77pXJI5',95
b'ESTRAHarassment',b'Has @SenateGOP outlasted it\xe2\x80\x99s usefulness to #America? Do they no longer represent citizens? #MeToo #KavanaughConfirmation #SupremeCourtMalfunction',31
b'melissathile',"b""Trevor Noah made many heartbreaking and breakthrough realizations in this Between the Scenes video. Politics aside, he hits upon the #MeToo movement, sexual violence, and Trump's ability to tap into a level of empathy for his... https://t.co/jS1VcorIks""",758
b'RylinAsh',"b""The reason I mentioned this is because I was just denied a job interview &amp; brother figured it was because of the #MeToo that all men want to stay away from women because supposedly we all lie! That's right my own BROTHER said it's women's fault! Is anyone surprised I HATE HIM?""",4
b'stampinlibby',b'My protest sign. Made in my basement with love. #MeToo #WeWillNotForget #BelieveWomen #BelieveSurvivors https://t.co/NRvBdlPTTv',1255
b'RealDonaldHumor',b'@JeffFlake WHY? Would you be able to sleep peacefully every night with this decision? #MeToo\xe2\x81\xa0 \xe2\x81\xa0',5
b'mesonoptic',b'Truth. #metoo #sgact https://t.co/SkpGnses28',264
b'ella_soulcoach',b'@Alyssa_Milano thank you beautiful girl. &lt;3 #MeToo',61
b'kinescopeman',"b""@tedlieu @NancySinatra @realDonaldTrump Today @SenatorCollins sold out women by implying she doesn't believe #ChristineBlaseyFord. #MeToo""",44
b'kkfla737',b'Nobody inspires me like my friend @hollyfussell_ a survivor who is just amazing and has taught me so much about how victims handle predatory and violent behavior. This effort is so important to our nation\xe2\x80\x99s future to send a message and #NeverForget #MeToo https://t.co/NmQUJihwhy',7790
b'MousseauJim',b'That was actually part of their plan. 99% of #Metoo Accusations were against Democrats. https://t.co/aMmBg63VgF',13937
b'AnothaKindaGay',"b'IDIOT #Murkowski embarrasses her home state, NEEDS some attention after the terrific speech by #SusanCollins today.  #ALASKA . . . . you can do something about this fool.  #ConfirmKavanaughNow #MeToo . . . for my ears listening to this moron on senate floor.'",268
b'MorganMayfair',"b'@lisamurkowski Admit it, you are really a stealth Democrat. I am a #MeToo er and I can certainly see through this. Just more Dem lies.'",3618
b'BuzzFeedNews',b'This story is part of BuzzFeed News\xe2\x80\x99 #WhatNow series on what\xe2\x80\x99s changed \xe2\x80\x93 and what hasn\xe2\x80\x99t \xe2\x80\x93 in the year since allegations against Harvey Weinstein brought massive attention to the #MeToo movement.\n\nRead the whole series here: https://t.co/1edZ2m8hdk https://t.co/oOVFGFAssH',1265853
b'oikonidaris',b'Take a look at a middle school culture of communication and transparency to end sexual assault in schools. (Well done Simon!) Parents and students: what are your schools\xe2\x80\x99 policies? It\xe2\x80\x99s a good time to take a look. #MeTooK12 #MeToo https://t.co/1sXv5UP3vl',219
b'DrPadvekar',"b'@calamur @EchoOfIndia #Metoo, \nEach &amp; Every women &amp; girl must stand-up now,  most of the men following loudly \nModi Mod Modi \nAnd chanting, \nShree Ram, will be caught now as perverts?\nI bet....'",1059
b'rfragan',"b'@MollyRingwald #MeToo I am not in a ""Rape Party"" I am a sexual assault survivor, too. This is not a political party issue, it\'s a Humanity issue. Please listen to Sen Collins speech again. How you can\'t see women as people I don\'t understand. 64yrs young, &amp; a proud American too! Still &lt;3 U!'",13
b'anneloehr',b'Are workplaces actually changing as a result of #MeToo? https://t.co/gyOzFpp1iH via @business \n#diversity #gendergap #womenleadership',4129
b'NPIBeauty',b'Brett Kavanaugh is Guilty!! #metoo #IbelieveDrFord #BrettKavanaughIsGuity #DevilsTriangleNotADrinkingGame https://t.co/I4F2iDlW2E',66
b'susannahsirkin',b'Couldn\xe2\x80\x99t have come at at better time! Bravo to courageous friends and partners of @P4HR who respect the dignity of survivors #DenisMukwege #Nadia_Murad #Congo #Yazidi #MeToo https://t.co/Mh2jUJ9dAn',2494
b'sdepolo',b'Emotional sobriety is an act of resistance. \n#MeToo #SurviveKavanaugh #TheResistance https://t.co/1ubnT7G4WZ',4082
b'abmountainmum',"b""@Alyssa_Milano @realDonaldTrump Took me 15 years to tell that I had been abused (for years) as a child and the reaction was 'I wonder what happened to that person that made them do that' \nThere has been NO consequences for my abuser\n#WhyDidntIReport \n#MeToo""",16
b'YesScholarship',"b'https://t.co/u8AMenpDli\nAwards: State, City &amp; School Level\n100 Objective Question in 90 minutes\n#BapuAt150  #jadeja #MeToo #NobelPeacePrize #Karanataka #paytm #Children #RNTata2000 #Students #Schoolteachers #education #parents #IAS #apjkalam #bangalore #india #Mysuru #Bihar https://t.co/oPXnFUfxWH'",495
b'WrldsNicestAHol',b'@lisamurkowski @lisamurkowski Sexually Assaulted #metoo',138
b'edgware_s',b'I\xe2\x80\x99m done with mens opinions on the me too movement . Do you now feel uncomfortable being around women in the workplace? Well now you know how we feel #MeToo',0
b'BluegrassPundit',"b'@lisamurkowski you listed all the people you listened to, but none of them were Kavanaugh supporters. You were holed up in your office all week with #Metoo having a big boohoo. You are an embarrassment.'",82806
b'CrystalSaidThat',"b'#metoo Folks DISMISS PEOPLE\xe2\x80\x99S experiences, until it happens to them. https://t.co/3mlqvtWBxb'",28
b'CarlHargrove',"b'So disappointing when movements that are meant to represent real needs get hijacked by the media, selfless politicians, and misguided ideologies. #MeToo women should be heard and men must be able to respond #SocialJustice speak to injustices for real people #BLM'",778
b'sherry_enfield',"b'@JeffFlake #notmypresident,#agentorange,#donthecon,#MeToo,#CancelKanavaugh,  kavanaugh has lied to the Senate,  the FBI investigation was a shame, who do you really work for? #bluewave,#TickTock https://t.co/1pqYTeeyUH'",71
b'HerDerBerxwedan',b'@KenRoth Thanks to the courageous Kurdish guerilla YPJ &amp; YPG #MeToo #ArinMirkan\n#NobelPeacePrize https://t.co/kGLYDZQUOX',182
b'G_station83',"b""Murkowski just say due process isn't necessary and I don't support Kavanaugh.  Case closed.  Then file whatever papers are require and join the #METOO  and put your pussy hat on.\n\n@seanhannity  @TuckerCarlson""",3000
b'Kissanurse75',b'He doesn\xe2\x80\x99t give a shit about WV \xf0\x9f\x91\x87\xf0\x9f\x8f\xbcHe proved today he wants the power but will be powerless He proved today he is corrupt &amp; in line with the @GOP instead of doing what\xe2\x80\x99s right for ALL his constituents #WriteIn @paulajean2018 \n#2018Midterms #EnoughIsEnough #IBelieveHer #MeToo https://t.co/Z9th7EdOo7',3946
b'EJRunyon',b'#MeToo\nat this age.\n#Resist https://t.co/6RGRzXN2pf',304
b'boyfacemedia',b'Get on our RAP GOATS #playlist: https://t.co/krrcOGXgFt\n#NewMusic: \nhttps://t.co/BnyuGHpus9 Paramedic! by SOB &amp; RBE: #youtube #lilbaby\n#hiphop #rap #Crypto #metoo #ICO $hot',41923
b'RylinAsh',"b""At 16 I was followed home by some guy who was later guilty of kidnapping and rape... cops treated me LIKE IT WAS MY FAULT for being followed (I wasn't caught thank god). #MeToo""",4
b'adlver',b'Here you go #metoo You really have become a #soros joke. Sad. . . \n@Potus @realDonaldTrump  @VP @JeffSessions @HouseGOP @SenateGOP  @HouseDems @SenateDems @Oann @SeanHannity @TuckerCarlson @LouDobbs  @Varneyco  @FoxandFriends @FFWeekends #MAGA #TrumpTrain #trumpville https://t.co/Rd9jq9oEVX',9195
b'SarahJames1955',"b""If liberal women that say all women should be believed. Why did they vote for Hillary Clinton to bring an admitted sexual offender into the white house and make him her economic adviser? Because they are all full of poop that's why. #MeToo is now all BS""",3052
b'RichardsLJ',"b'Six times. Six times I knew no one would believe me or perhaps not even consider the trauma I faced to be a crime. I soldiered on, as we women do. The past week or so has been like being assaulted all over again. #WhyIDidntReport #metoo'",625
b'The_PPete',"b""#USA #Justice: VIDEO by #RTTV's #CrossTalk on the #Kavanaugh fiasco: https://t.co/2oJAJ80GA8 | #FalseAllegations #Feminism #MeToo""",2497
b'pawanjotkaur_',"b'How #Metoo is going to be remembered through history: ""It was not a fight for a tangible result\xe2\x80\x94suffrage, for instance, or reproductive rights. It was the dogged, contagious pursuit of something as elusive as it is fundamental: equality. Of worth, freedom, opportunities.""Via @qz'",744
b'LeadingWPassion',"b'What do you do if someone tries to put you down? Instead of reacting, learn how to respond, and how to empower yourself:  https://t.co/oLJhpoBfqq\n#genderequality \n#feminism #metoo https://t.co/xAMHRMTHXu'",62149
b'Galina_Imrie',"b'Ok #metoo people, what do you think of this?  https://t.co/9t5hXd3pju'",493
b'MyGrindelwald',b'Ms. Heard became in the process an imposter in the #metoo movement who abused the trust and experiences of real survivors for her own reputational gain. https://t.co/piUQiZRA4X via @thr',2153
b'etyfibMu',b'Legal hurdles may make Weinstein\xe2\x80\x99s prosecution an exception: Harvey Weinstein\xe2\x80\x99s arrest in New York Friday is a landmark moment in the #MeToo movement. Yet as authorities work through dozens of cases against famous figures in entertainment and other\xe2\x80\xa6 https://t.co/x3rELkrMNV https://t.co/PfxiMULnby',4
b'EagleEdMartin',"b'No #MeToo for California\xe2\x80\x99s Gender Quotas\n""People will view any woman who is on the Board of a California company with skepticism as to whether she is the token, or is there based on merit."" \nContinue reading the latest \xf0\x9f\xa6\x85#SchlaflyReport\n https://t.co/P7x5SYsAq2 https://t.co/zMldsp0MQe'",10725
b'mjford01',b'@ChrisCuomo She fell the #MeToo',181
b'goldngater',"b'Thank you, @lisamurkowski. #MeToo #NoKavanaugh #IBelieveDrBlasey https://t.co/fTK2s5IKQx'",5601
b'DemforceMGWV',b'OMG You gotta hear this from Chuck Grassley #MeToo https://t.co/EMv55wUOCC',29058
b'YLRoseofTX',"b'About ready to up &amp; leave this country and all the sexist, hyper aggressive, jerks who shouldn\xe2\x80\x99t be in high respected positions but ARE because of other jerks and mindless sheep. But where to go.. #americasuckstoday #metoo \nhttps://t.co/QK31ma5Vj8'",17
b'grayswindell',b'@ProfMJCleveland you know as a another win This is the first time the #metoo movement has been directly challenged to provide solid evidence from the accuser . The movement has been highjacked by people who want to destroy their enemies',2544
b'smartinez411',b'Susan Collins gave a tongue lashing to activists and #MeToo while giving a tongue bath to #BrettKavanaugh \n#resist https://t.co/dt2T8V2gmP',330
b'RylinAsh',"b""The DICKWAD told me it was MY FAULT for never talking about it. Even tho the 1st time it happened I was 5years old. Told my parents, nothing happened. At 12 my own cousin (40's) did it &amp; his excuse (when he finally got caught) he was DRUNK so not his fault. #MeToo""",4
b'TruePatriot30',"b'While the need to maintain the presumption of #innocence is central to our #justicesystem, #women #politicians like @SenCollins have shown themselves to be enablers of #maleprivilege in the service of #politics, thereby showing insincere support of #MeToo.'",2
b'NotSoProudYank',"b'#Women I see too many down about what happened today. I was a bit too, but went for a walk, sat in the sun and feel much better. \n\nWe have to recharge, organize, vote, demand change--and change begins with us--and those we associate with (men).\n\n#IBelieveHer, #NeverGiveUp, #MeToo'",1189
b'Susan9587',"b""Folks, I am poor. But I am contributing to @HeidiHeitkamp She's awesome, honest and is running behind. She supports us and was a NO on Kavanaugh. Let's all get behind her. We need her. Thanks. THANKS. #MeToo""",2345
b'SherriBunch49',"b""@BaardaDn @lisamurkowski And shame on you! I have 2 sons and have ZERO concerns they'll be in Kavanaugh's position one day! #MeToo""",735
b'RealDonaldHumor',b'@Sen_JoeManchin WHY? Even Trump Jr. slammed you today... Would you be able to sleep peacefully every night with this decision? #MeToo',5
b'phunchicky',b'@kayruun @r_graus @jackox48 @elainaplott @JeffFlake #metoo did nothing for these women #MeTooLiars https://t.co/ZnBpXLxVp4',5632
b'FatimaBarkatula',b'A very well balanced take by Sheikh @YasirQadhi on the #MeToo Movement &amp; Sexual Crimes from an Islamic Perspective - https://t.co/dxnAd8W3Vb via @YouTube Jazahullahu khairan',6608
b'DonnaYoungDC',"b'.@SenatorCollins also helped further promulgate that #DrFord\'s assault maybe happened ""at some other time,"" without offering a shred of evidence. \nCollins said ""We must listen to survivors."" She did not say anything about taking action, ensuring adequate investigations. \n#MeToo'",7474
b'xAleighSx',b'\xe2\x80\x9cIf you don\xe2\x80\x99t know women who have been sexually abused it\xe2\x80\x99s because they don\xe2\x80\x99t trust you enough to tell you about it.\xe2\x80\x9d Period. \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbd #MeToo',20
b'MakeUSBetter4Us',b'Meirice\xc3\xa1 gu br\xc3\xa0th!  \xe2\x80\x9cAmerica Until Judgement!\xe2\x80\x9d  Rally the #bluewave against the #RedTide NOW!!! It\xe2\x80\x99s not too late to be on the right side of history!  #VoteNoOnKavanaugh NOW!!! Retweet until the last senator votes! #BlueTsunami #BlueTsunami2018 #VoteBlue #VoteNo #hope #metoo',3340
b'Msihotas',b'Khamenei Uses #MeToo Movement to Promote the Hijab https://t.co/TytHmjZDOh via @BreitbartNews',57
b'JohnyAction',"b""Is there any reason you in the @DNC still $upport a backstabbing weasel like @JoeManchinWV who'll believe his daughter when she lies about not ripping people off with EpiPen but not rape victims? #MeToo""",1309
b'GeekNurse13',b'The videos in this thread!  Please watch! @Mysonne is amazing and speaks what I wish more men heard! #MeToo #rapeculture https://t.co/Wdi7EL8Nbg',672
b'mr_ian',b'A #metoo moment but for waitresses and every male Boomer in my family tree',665
b'Mad_Clevelander',"b""@Jack why do you allow #Democrats to advocate harassment? Where's #Metoo? https://t.co/T0eDbShJmH""",3647
b'LaVocediNewYork',"b'The #MeToo anniversary, the #NobelPeacePrize, and the #KavanaughVote mark a grim moment in dismantling the global patriarchy by @TeddyOstrow and @michaelfeynberg\n#UN #Antonioguterres #UNSG \nhttps://t.co/kay7mkuaOi'",3916
b'bbgirl1966',"b'I am hurt and angry. Disgusted and disappointed. If I had the means I would leave this country until this administration is history. BUT for my daughters, my sister, my mother and for all those without a voice I will continue to #resist #VoteBlue #Resistance. #MeToo Fight on!'",392
b'TheWondersNatur',b'The FBI\xe2\x80\x99s Investigation Into Brett Kavanaugh Was A Complete SHAM https://t.co/XDcXYusexf via @YouTube #KavanaughVote #KavanaughConfirmationHearings #KavanaughConfirmation #Kavanaughhearings #KavanaughFord #Kavanaugh #MeToo',1996
b'MrKurtLockwood',"b'Its a really strange time to perform in a Las Vegas All Male Revue.\nThe #metoo movement and this Kavanaugh sh!te is not really conducive to females celebrating males sexually (which is what our show is all about).\nLuckily, our female audience is embracing us almost in spite of...'",13349
